sitio;temporada;fecha;hora;tratamiento;unidad;codigo;bar
la_esperanza;2022-2023;13/1/2023;09:00;T0;2;H103A6;7.54
la_esperanza;2022-2023;13/1/2023;09:00;T0;3;H104A6;8.75
la_esperanza;2022-2023;13/1/2023;10:00;T4;1;H79A4;11.32
la_esperanza;2022-2023;13/1/2023;10:00;T4;3;H81A4;10.89
la_esperanza;2022-2023;13/1/2023;10:00;T1;1;H85A4;14.42
la_esperanza;2022-2023;13/1/2023;10:00;T1;2;H85A5;12.56
la_esperanza;2022-2023;13/1/2023;10:00;T3;1;H98A8;10.3
la_esperanza;2022-2023;13/1/2023;10:00;T3;3;H99A8;12.52
la_esperanza;2022-2023;13/1/2023;10:00;T3;2;H98A9;10.73
la_esperanza;2022-2023;13/1/2023;10:00;T0;1;H103A5;11.95
la_esperanza;2022-2023;13/1/2023;10:00;T0;2;H103A6;11.75
la_esperanza;2022-2023;13/1/2023;10:00;T0;3;H104A6;11.34
la_esperanza;2022-2023;13/1/2023;11:00;T4;1;H79A4;13.13
la_esperanza;2022-2023;13/1/2023;11:00;T4;3;H81A4;12.6
la_esperanza;2022-2023;13/1/2023;11:00;T1;1;H85A4;12.68
la_esperanza;2022-2023;13/1/2023;11:00;T1;2;H85A5;14.78
la_esperanza;2022-2023;13/1/2023;11:00;T3;1;H98A8;12.16
la_esperanza;2022-2023;13/1/2023;11:00;T3;3;H99A8;10.71
la_esperanza;2022-2023;13/1/2023;11:00;T3;2;H98A9;11.46
la_esperanza;2022-2023;13/1/2023;11:00;T0;1;H103A5;13.54
la_esperanza;2022-2023;13/1/2023;11:00;T0;2;H103A6;12.56
la_esperanza;2022-2023;13/1/2023;11:00;T0;3;H104A6;11.71
la_esperanza;2022-2023;13/1/2023;12:00;T4;1;H79A4;14.89
la_esperanza;2022-2023;13/1/2023;12:00;T4;3;H81A4;14.54
la_esperanza;2022-2023;13/1/2023;12:00;T1;1;H85A4;12.97
la_esperanza;2022-2023;13/1/2023;12:00;T1;2;H85A5;14.67
la_esperanza;2022-2023;13/1/2023;12:00;T3;1;H98A8;11.24
la_esperanza;2022-2023;13/1/2023;12:00;T3;3;H99A8;11.07
la_esperanza;2022-2023;13/1/2023;12:00;T3;2;H98A9;13.16
la_esperanza;2022-2023;13/1/2023;12:00;T0;1;H103A5;11.34
la_esperanza;2022-2023;13/1/2023;12:00;T0;2;H103A6;13.12
la_esperanza;2022-2023;13/1/2023;12:00;T0;3;H104A6;9.45
la_esperanza;2022-2023;13/1/2023;13:00;T4;1;H79A4;16.22
la_esperanza;2022-2023;13/1/2023;13:00;T4;3;H81A4;16.59
la_esperanza;2022-2023;13/1/2023;13:00;T1;1;H85A4;17.86
la_esperanza;2022-2023;13/1/2023;13:00;T1;2;H85A5;14.6
la_esperanza;2022-2023;13/1/2023;13:00;T3;1;H98A8;13.76
la_esperanza;2022-2023;13/1/2023;13:00;T3;3;H99A8;13.61
la_esperanza;2022-2023;13/1/2023;13:00;T3;2;H98A9;13.47
la_esperanza;2022-2023;13/1/2023;13:00;T0;1;H103A5;14
la_esperanza;2022-2023;13/1/2023;13:00;T0;2;H103A6;14.99
la_esperanza;2022-2023;13/1/2023;13:00;T0;3;H104A6;13.66
la_esperanza;2022-2023;13/1/2023;14:00;T4;1;H79A4;15.85
la_esperanza;2022-2023;13/1/2023;14:00;T4;3;H81A4;15.81
la_esperanza;2022-2023;13/1/2023;14:00;T1;1;H85A4;15.1
la_esperanza;2022-2023;13/1/2023;14:00;T1;2;H85A5;14.82
la_esperanza;2022-2023;13/1/2023;14:00;T3;1;H98A8;12.8
la_esperanza;2022-2023;13/1/2023;14:00;T3;3;H99A8;15.1
la_esperanza;2022-2023;13/1/2023;14:00;T3;2;H98A9;13.57
la_esperanza;2022-2023;13/1/2023;14:00;T0;1;H103A5;13.23
la_esperanza;2022-2023;13/1/2023;14:00;T0;2;H103A6;13.61
la_esperanza;2022-2023;13/1/2023;14:00;T0;3;H104A6;10.87
la_esperanza;2022-2023;13/1/2023;15:00;T4;1;H79A4;14.17
la_esperanza;2022-2023;13/1/2023;15:00;T4;3;H81A4;13.82
la_esperanza;2022-2023;13/1/2023;15:00;T1;1;H85A4;12.91
la_esperanza;2022-2023;13/1/2023;15:00;T1;2;H85A5;14.2
la_esperanza;2022-2023;13/1/2023;15:00;T3;1;H98A8;13.53
la_esperanza;2022-2023;13/1/2023;15:00;T3;3;H99A8;16.4
la_esperanza;2022-2023;13/1/2023;15:00;T3;2;H98A9;12.77
la_esperanza;2022-2023;13/1/2023;15:00;T0;1;H103A5;12.56
la_esperanza;2022-2023;13/1/2023;15:00;T0;2;H103A6;13.41
la_esperanza;2022-2023;13/1/2023;15:00;T0;3;H104A6;13.1
la_esperanza;2022-2023;13/1/2023;16:00;T4;1;H79A4;15.09
la_esperanza;2022-2023;13/1/2023;16:00;T4;3;H81A4;14.12
la_esperanza;2022-2023;13/1/2023;16:00;T1;1;H85A4;13.31
la_esperanza;2022-2023;13/1/2023;16:00;T1;2;H85A5;12.89
la_esperanza;2022-2023;13/1/2023;16:00;T3;1;H98A8;14.97
la_esperanza;2022-2023;13/1/2023;16:00;T3;3;H99A8;15.03
la_esperanza;2022-2023;13/1/2023;16:00;T3;2;H98A9;14.44
la_esperanza;2022-2023;13/1/2023;16:00;T0;1;H103A5;12.2
la_esperanza;2022-2023;13/1/2023;16:00;T0;2;H103A6;12.96
la_esperanza;2022-2023;13/1/2023;16:00;T0;3;H104A6;12.16
la_esperanza;2022-2023;13/1/2023;17:00;T4;1;H79A4;11.91
la_esperanza;2022-2023;13/1/2023;17:00;T4;3;H81A4;11.86
la_esperanza;2022-2023;13/1/2023;17:00;T1;1;H85A4;11.48
la_esperanza;2022-2023;13/1/2023;17:00;T1;2;H85A5;10.97
la_esperanza;2022-2023;13/1/2023;17:00;T3;1;H98A8;13.93
la_esperanza;2022-2023;13/1/2023;17:00;T3;3;H99A8;15.64
la_esperanza;2022-2023;13/1/2023;17:00;T3;2;H98A9;13.91
la_esperanza;2022-2023;13/1/2023;17:00;T0;1;H103A5;12.25
la_esperanza;2022-2023;13/1/2023;17:00;T0;2;H103A6;10.89
la_esperanza;2022-2023;13/1/2023;17:00;T0;3;H104A6;12.12
la_esperanza;2022-2023;13/1/2023;18:00;T4;1;H79A4;10.07
la_esperanza;2022-2023;13/1/2023;18:00;T4;3;H81A4;10.58
la_esperanza;2022-2023;13/1/2023;18:00;T1;1;H85A4;9.38
la_esperanza;2022-2023;13/1/2023;18:00;T1;2;H85A5;9.23
la_esperanza;2022-2023;13/1/2023;18:00;T3;1;H98A8;13.15
la_esperanza;2022-2023;13/1/2023;18:00;T3;3;H99A8;11.17
la_esperanza;2022-2023;13/1/2023;18:00;T3;2;H98A9;10.09
la_esperanza;2022-2023;13/1/2023;18:00;T0;1;H103A5;9.91
la_esperanza;2022-2023;13/1/2023;18:00;T0;2;H103A6;10.34
la_esperanza;2022-2023;13/1/2023;18:00;T0;3;H104A6;12.18
la_esperanza;2022-2023;13/1/2023;19:00;T4;1;H79A4;9.32
la_esperanza;2022-2023;13/1/2023;19:00;T4;3;H81A4;8.51
la_esperanza;2022-2023;13/1/2023;19:00;T1;1;H85A4;8.53
la_esperanza;2022-2023;13/1/2023;19:00;T1;2;H85A5;9.46
la_esperanza;2022-2023;13/1/2023;19:00;T3;1;H98A8;13.16
la_esperanza;2022-2023;13/1/2023;19:00;T3;3;H99A8;9.91
la_esperanza;2022-2023;13/1/2023;19:00;T3;2;H98A9;10.32
la_esperanza;2022-2023;13/1/2023;19:00;T0;1;H103A5;7.48
la_esperanza;2022-2023;13/1/2023;19:00;T0;2;H103A6;8.99
la_esperanza;2022-2023;13/1/2023;19:00;T0;3;H104A6;9.54
la_esperanza;2022-2023;13/1/2023;20:00;T4;1;H79A4;7.23
la_esperanza;2022-2023;13/1/2023;20:00;T4;3;H81A4;6.78
la_esperanza;2022-2023;13/1/2023;20:00;T1;1;H85A4;6.63
la_esperanza;2022-2023;13/1/2023;20:00;T1;2;H85A5;7.96
la_esperanza;2022-2023;13/1/2023;20:00;T3;1;H98A8;9.18
la_esperanza;2022-2023;13/1/2023;20:00;T3;3;H99A8;7.28
la_esperanza;2022-2023;13/1/2023;20:00;T3;2;H98A9;7.43
la_esperanza;2022-2023;13/1/2023;20:00;T0;1;H103A5;7.33
la_esperanza;2022-2023;13/1/2023;20:00;T0;2;H103A6;8.38
la_esperanza;2022-2023;13/1/2023;20:00;T0;3;H104A6;7.12
rio_claro;2022-2023;2/2/2023;07:00;T3;1;H72A5;11.58
rio_claro;2022-2023;2/2/2023;07:00;T3;2;H72A6;16.38
rio_claro;2022-2023;2/2/2023;07:00;T3;3;H72A7;13.79
rio_claro;2022-2023;2/2/2023;07:00;T1;1;H67A5;10.02
rio_claro;2022-2023;2/2/2023;07:00;T1;2;H67A6;11.85
rio_claro;2022-2023;2/2/2023;07:00;T1;3;H66A5;11.96
rio_claro;2022-2023;2/2/2023;07:00;T4;3;H61A6;23.12
rio_claro;2022-2023;2/2/2023;07:00;T4;1;H62A8;16.88
rio_claro;2022-2023;2/2/2023;07:00;T2;1;H56A6;13.43
rio_claro;2022-2023;2/2/2023;07:00;T2;3;H55A8;12.86
rio_claro;2022-2023;2/2/2023;08:00;T3;1;H72A5;14.89
rio_claro;2022-2023;2/2/2023;08:00;T3;2;H72A6;18.39
rio_claro;2022-2023;2/2/2023;08:00;T3;3;H72A7;14.56
rio_claro;2022-2023;2/2/2023;08:00;T1;1;H67A5;12.03
rio_claro;2022-2023;2/2/2023;08:00;T1;2;H67A6;12.43
rio_claro;2022-2023;2/2/2023;08:00;T1;3;H66A5;12.48
rio_claro;2022-2023;2/2/2023;08:00;T4;3;H61A6;25.77
rio_claro;2022-2023;2/2/2023;08:00;T4;1;H62A8;11.43
rio_claro;2022-2023;2/2/2023;08:00;T2;1;H56A6;13.98
rio_claro;2022-2023;2/2/2023;08:00;T2;3;H55A8;14.83
rio_claro;2022-2023;2/2/2023;09:00;T3;1;H72A5;18.49
rio_claro;2022-2023;2/2/2023;09:00;T3;2;H72A6;21.78
rio_claro;2022-2023;2/2/2023;09:00;T3;3;H72A7;16.43
rio_claro;2022-2023;2/2/2023;09:00;T1;1;H67A5;12.5
rio_claro;2022-2023;2/2/2023;09:00;T1;2;H67A6;14.61
rio_claro;2022-2023;2/2/2023;09:00;T1;3;H66A5;12.82
rio_claro;2022-2023;2/2/2023;09:00;T4;3;H61A6;29.96
rio_claro;2022-2023;2/2/2023;09:00;T4;1;H62A8;12.33
rio_claro;2022-2023;2/2/2023;09:00;T2;1;H56A6;16.44
rio_claro;2022-2023;2/2/2023;09:00;T2;3;H55A8;17.02
rio_claro;2022-2023;2/2/2023;10:00;T3;1;H72A5;19.95
rio_claro;2022-2023;2/2/2023;10:00;T3;2;H72A6;24.32
rio_claro;2022-2023;2/2/2023;10:00;T3;3;H72A7;21.47
rio_claro;2022-2023;2/2/2023;10:00;T1;1;H67A5;14.95
rio_claro;2022-2023;2/2/2023;10:00;T1;2;H67A6;15.65
rio_claro;2022-2023;2/2/2023;10:00;T1;3;H66A5;14.82
rio_claro;2022-2023;2/2/2023;10:00;T4;3;H61A6;34.12
rio_claro;2022-2023;2/2/2023;10:00;T4;1;H62A8;17.47
rio_claro;2022-2023;2/2/2023;10:00;T2;1;H56A6;18.95
rio_claro;2022-2023;2/2/2023;10:00;T2;3;H55A8;19.3
rio_claro;2022-2023;2/2/2023;11:00;T3;1;H72A5;25.25
rio_claro;2022-2023;2/2/2023;11:00;T3;2;H72A6;28.87
rio_claro;2022-2023;2/2/2023;11:00;T3;3;H72A7;26.3
rio_claro;2022-2023;2/2/2023;11:00;T1;1;H67A5;19.82
rio_claro;2022-2023;2/2/2023;11:00;T1;2;H67A6;19.16
rio_claro;2022-2023;2/2/2023;11:00;T1;3;H66A5;18.39
rio_claro;2022-2023;2/2/2023;11:00;T4;3;H61A6;35.13
rio_claro;2022-2023;2/2/2023;11:00;T4;1;H62A8;18.43
rio_claro;2022-2023;2/2/2023;11:00;T2;1;H56A6;23.47
rio_claro;2022-2023;2/2/2023;11:00;T2;3;H55A8;23.83
rio_claro;2022-2023;2/2/2023;12:00;T3;1;H72A5;24.36
rio_claro;2022-2023;2/2/2023;12:00;T3;2;H72A6;29.26
rio_claro;2022-2023;2/2/2023;12:00;T3;3;H72A7;27.79
rio_claro;2022-2023;2/2/2023;12:00;T1;1;H67A5;18.84
rio_claro;2022-2023;2/2/2023;12:00;T1;2;H67A6;22.6
rio_claro;2022-2023;2/2/2023;12:00;T1;3;H66A5;21.46
rio_claro;2022-2023;2/2/2023;12:00;T4;3;H61A6;32.33
rio_claro;2022-2023;2/2/2023;12:00;T4;1;H62A8;18.56
